"ES",  "DHX",                                                                   
"4C",  "ARE",                                                                   
"",    "ENJ",                                                                   
"VH",  "VVC",                                                                   
"",    "999",                                                                   
"",    "MED",                                                                   
"JK",  "ACL",                                                                   
"Z3",  "TNR",                                                                   
"FC",  "",                                                                      
"3W",  "MWI",                                                                   
"",    "CAW",                                                                   
"K8",  "IJW",                                                                   
"W4",  "",                                                                      
"UR",  "UGD",                                                                   
"",    "CUL",                                                                   
"D4",  "GEL",                                                                   
"",    "DRW",                                                                   
"9D",  "NMG",                                                                   
"QI",  "IAN",                                                                   
"4J",  "JRC",                                                                   
"",    "HGG",                                                                   
"WP",  "ATW",                                                                   
"AL",  "MAY",                                                                   
"5Q",  "HES",                                                                   
"LR",  "LRC",                                                                   
"",    "DUM",                                                                   
"",    "KHH",                                                                   
"8V",  "ACP",                                                                   
"LV",  "BOS",                                                                   
"ED",  "AXE",                                                                   
"",    "FTZ",                                                                   
"8E",  "EFX",                                                                   
"XT",  "IDX",                                                                   
"",    "OLY",                                                                   
"",    "FMF",                                                                   
"X7",  "FRH",                                                                   
"",    "RIO",                                                                   
"",    "KUH",                                                                   
"",    "IRL",                                                                   
"2I",  "CSB",                                                                   
"4V",  "FGW",                                                                   
"",    "GWR",                                                                   
"",    "JOC",                                                                   
"",    "TJB",                                                                   
"R0",  "TTU",                                                                   
"",    "DLC",                                                                   
"",    "ABT",                                                                   
"WO",  "WSW",                                                                   
"LH",  "DLH",                                                                   
"",    "TIW",                                                                   
"",    "CAO",                                                                   
"",    "HAG",                                                                   
"",    "PSC",                                                                   
"",    "JUS",                                                                   
"",    "ETR",                                                                   
"",    "NEP",                                                                   
"",    "PCF",                                                                   
"",    "NRR",                                                                   
"WE",  "THD",                                                                   
"ZP",  "AZQ",                                                                   
"",    "IAR",                                                                   
"",    "JME",                                                                   
"",    "VOR",                                                                   
"",    "QQE",                                                                   
"",    "SZS",                                                                   
"KD",  "WGN",                                                                   
"",    "HAE",                                                                   
"OV",  "OMS",                                                                   
"",    "HDM",                                                                   
"",    "GLT",                                                                   
"RY",  "CJX",                                                                   
"",    "HRC",                                                                   
"",    "KBX",                                                                   
"",    "ZOM",                                                                   
"",    "JRT",                                                                   
"",    "GJT",                                                                   
"T2",  "FLB",                                                                   
"4T",  "",                                                                      
"ZK",  "ZAV",                                                                   
"",    "JKH",                                                                   
"",    "WMA",                                                                   
"",    "SMU",                                                                   
"",    "DJR",                                                                   
"",    "FXW",                                                                   
"",    "SIQ",                                                                   
"",    "SRE",                                                                   
"",    "KOW",                                                                   
"",    "BNA",                                                                   
"",    "WVZ",                                                                   
"",    "DOW",                                                                   
"",    "SMO",                                                                   
"",    "WLD",                                                                   
"",    "WJM",                                                                   
"",    "VAW",                                                                   
"",    "ERA",                                                                   
"",    "MFG",                                                                   
"",    "HWK",                                                                   
"",    "VGB",                                                                   
"",    "CBH",                                                                   
"",    "ULA",                                                                   
"",    "SSR",                                                                   
"",    "PHJ",                                                                   
"",    "KOC",                                                                   
"",    "AKF",                                                                   
"",    "ENK",                                                                   
"",    "DLX",                                                                   
"",    "GUY",                                                                   
"",    "NJF",                                                                   
"",    "EXP",                                                                   
"",    "MSU",                                                                   
"",    "NFA",                                                                   
"",    "AMB",                                                                   
"",    "SFS",                                                                   
"",    "RIX",                                                                   
"",    "FTD",                                                                   
"",    "AXG",                                                                   
"",    "RCT",                                                                   
"",    "DES",                                                                   
"",    "SVV",                                                                   
"",    "CWR",                                                                   
"",    "ENR",                                                                   
"",    "ULC",                                                                   
"PM",  "CNF",                                                                   
"",    "OMT",                                                                   
"",    "SAQ",                                                                   
"IK",  "AKL",                                                                   
"",    "BTQ",                                                                   
"",    "VVB",                                                                   
"",    "RVQ",                                                                   
"",    "RVJ",                                                                   
"",    "WFT",                                                                   
"",    "VLB",                                                                   
"",    "TEK",                                                                   
"",    "EAW",                                                                   
"",    "FBA",                                                                   
"",    "LTD",                                                                   
"",    "BGB",                                                                   
"",    "GEX",                                                                   
"",    "IAM",                                                                   
"",    "HRN",                                                                   
"",    "HHG",                                                                   
"",    "HEZ",                                                                   
"",    "KLJ",                                                                   
"",    "KBD",                                                                   
"",    "YEL",                                                                   
"",    "GJI",                                                                   
"",    "ICF",                                                                   
"QH",  "BAV",                                                                   
"",    "JCO",                                                                   
"LE",  "NSW",                                                                   
"",    "CWG",                                                                   
"",    "AAD",                                                                   
"",    "VYE",                                                                   
"",    "EJE",                                                                   
"T9",  "VTU",                                                                   
"LJ",  "JNA",                                                                   
"",    "VKA",                                                                   
"",    "PWY",                                                                   
"",    "BIA",                                                                   
"",    "AZP",                                                                   
"",    "DEK",                                                                   
"EC",  "EJU",                                                                   
"H6",  "BUC",                                                                   
"3S",  "",                                                                      
"P9",  "MGE",                                                                   
"",    "KNT",                                                                   
"",    "HON",                                                                   
"",    "IVY",                                                                   
"VW",  "TAO",                                                                   
"",    "999",                                                                   
"3F",  "",                                                                      
"NL",  "AEH",                                                                   
"",    "MRR",                                                                   
"",    "EXA",                                                                   
"",    "UCB",                                                                   
"EO",  "KAR",                                                                   
"P5",  "",                                                                      
"UC",  "LCO",                                                                   
"JE",  "MNO",                                                                   
"KP",  "SKK",                                                                   
"AW",  "AFW",                                                                   
"",    "TXP",                                                                   
"",    "CSX",                                                                   
"",    "FYL",                                                                   
"CS",  "CXB",                                                                   
"KT",  "HOG",                                                                   
"DP",  "PBD",                                                                   
"RS",  "ASV",                                                                   
"BF",  "FBU",                                                                   
"E2",  "EWE",                                                                   
"",    "SLR",                                                                   
"Q6",  "VOC",                                                                   
"FO",  "FBZ",                                                                   
"",    "KAB",                                                                   
"LQ",  "MKR",                                                                   
"",    "MRS",                                                                   
"RW",  "RYL",                                                                   
"",    "VAJ",                                                                   
"",    "APV",                                                                   
"",    "KUY",                                                                   
"IQ",  "QAZ",                                                                   
"GM",  "GSW",                                                                   
"AN",  "",                                                                      
"ZB",  "",                                                                      
"VO",  "VGR",                                                                   
"JO",  "JNK",                                                                   
"",    "AER",                                                                   
"",    "PVN",                                                                   
"",    "KLD",                                                                   
"",    "CTJ",                                                                   
"9A",  "",                                                                      
"",    "NZM",                                                                   
"",    "VEC",                                                                   
"",    "MXE",                                                                   
"",    "999",                                                                   
"",    "999",                                                                   
"",    "VLV",                                                                   
"",    "UWJ",                                                                   
"",    "EZR",                                                                   
"6O",  "OBS",                                                                   
"XE",  "JSX",                                                                   
"",    "JSN",                                                                   
"",    "SJM",                                                                   
"",    "JBE",                                                                   
"O4",  "OTF",                                                                   
"",    "CCQ",                                                                   
"",    "WSN",                                                                   
"",    "EJA",                                                                   
"RH",  "HKC",                                                                   
"BN",  "BGN",                                                                   
"CQ",  "",                                                                      
"",    "TDA",                                                                   
"VZ",  "QCL",                                                                   
"",    "OMN",                                                                   
"TI",  "TWI",                                                                   
"5C",  "ICL",                                                                   
"",    "TMG",                                                                   
"",    "XLR",                                                                   
"",    "BOL",                                                                   
"",    "BDA",                                                                   
"",    "PSV",                                                                   
"",    "TNO",                                                                   
"",    "SRU",                                                                   
"VA",  "",                                                                      
"",    "WRT",                                                                   
"",    "BOX",                                                                   
"HT",  "HAT",                                                                   
"",    "CHF",                                                                   
"",    "RIH",                                                                   
"",    "TJJ",                                                                   
"W9",  "WUK",                                                                   
"PQ",  "SQP",                                                                   
"4W",  "AJK",                                                                   
"C8",  "",                                                                      
"",    "JTL",                                                                   
"",    "MNT",                                                                   
"3G",  "CXM",                                                                   
"",    "BRG",                                                                   
"",    "FPK",                                                                   
